W_PCT,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS
0.732,42.3,88.3,0.48,11.0,31.6,0.349,17.7,24.3,0.729,10.7,35.1,45.7,25.4,15.2,8.6,6.6,3.7,20.7,21.7,113.4,39.1,87.1,0.448,11.6,33.4,0.349,17.9,22.9,0.781,9.4,32.9,42.3,23.4,15.9,8.2,3.7,6.6,21.7,20.7,107.6
0.603,39.5,84.4,0.468,13.4,35.4,0.379,19.7,25.2,0.783,8.5,35.9,44.4,25.9,14.9,7.5,4.5,4.1,20.6,21.7,112.0,38.8,86.7,0.448,13.1,37.7,0.347,18.4,23.6,0.783,9.2,33.3,42.5,24.6,14.0,7.5,4.1,4.5,21.7,20.6,109.1
0.767,43.3,90.9,0.476,13.8,38.9,0.355,18.3,24.7,0.742,9.5,42.2,51.7,25.9,15.1,7.2,5.9,4.5,19.6,21.7,118.7,38.9,94.0,0.414,14.0,39.3,0.355,16.7,21.2,0.787,9.5,36.3,45.8,24.2,14.1,7.4,4.5,5.9,21.7,19.6,108.6
0.297,40.4,91.6,0.441,13.3,39.7,0.336,19.1,25.4,0.753,10.5,34.3,44.8,23.8,15.3,8.7,5.7,5.5,21.4,21.6,113.3,43.1,90.4,0.477,11.6,31.9,0.363,19.7,25.2,0.783,10.1,37.2,47.3,24.4,15.5,7.8,5.5,5.7,21.6,21.4,117.5
0.486,40.4,90.3,0.448,13.1,38.1,0.343,17.9,24.1,0.745,10.6,37.3,47.9,24.5,15.3,6.4,4.5,5.3,21.0,21.1,111.8,41.4,92.9,0.446,12.2,34.8,0.35,17.4,22.6,0.769,10.6,35.3,45.9,22.6,12.8,7.7,5.3,4.5,21.1,21.0,112.3
0.318,40.0,89.3,0.447,9.6,28.4,0.337,16.3,23.5,0.694,12.0,34.5,46.5,22.1,14.3,7.6,4.7,5.0,22.2,19.8,105.8,39.9,86.0,0.463,13.3,34.9,0.381,19.2,25.7,0.749,9.6,34.6,44.2,24.3,13.7,7.2,5.0,4.7,19.8,22.2,112.3
0.452,39.3,88.6,0.444,11.1,32.2,0.343,17.6,22.7,0.774,10.3,34.2,44.5,23.9,12.8,8.2,5.4,4.6,18.3,19.5,107.3,40.4,86.9,0.465,12.2,33.6,0.364,15.3,19.8,0.771,9.0,35.8,44.9,24.7,14.6,7.0,4.6,5.4,19.5,18.3,108.3
0.616,42.1,88.5,0.476,10.2,28.0,0.363,15.0,19.1,0.787,8.7,34.1,42.8,25.9,13.2,7.4,5.2,4.6,19.8,18.8,109.4,39.5,88.5,0.446,11.5,33.6,0.341,17.0,21.6,0.788,10.4,34.9,45.2,23.1,14.7,6.9,4.6,5.2,18.8,19.8,107.5
0.589,41.1,87.9,0.468,11.6,31.6,0.368,16.9,22.4,0.755,10.5,35.0,45.4,25.8,14.2,8.0,5.3,4.0,20.9,20.5,110.7,39.8,86.0,0.463,10.4,29.4,0.353,18.4,24.5,0.751,8.6,33.2,41.8,22.8,13.8,7.0,4.0,5.3,20.5,20.9,108.4
0.466,41.2,88.1,0.468,11.4,31.8,0.358,19.9,23.8,0.834,9.8,33.8,43.5,27.2,14.8,7.7,4.0,5.5,22.0,22.6,113.6,41.2,87.4,0.472,11.6,32.0,0.363,19.3,24.5,0.788,9.1,34.2,43.3,23.6,15.6,7.9,5.5,4.0,22.6,22.0,113.4
0.473,42.2,91.2,0.463,12.9,34.1,0.377,17.7,22.1,0.804,10.2,35.1,45.3,20.6,12.8,6.3,6.1,4.9,21.7,20.1,115.0,41.8,91.6,0.456,13.6,35.4,0.383,19.1,24.7,0.771,11.5,35.4,46.9,24.9,12.9,6.8,4.9,6.1,20.1,21.7,116.1
0.431,40.9,88.4,0.462,12.7,34.9,0.364,15.7,20.3,0.77,9.7,32.9,42.6,23.8,14.5,7.7,4.1,4.2,22.2,19.5,110.1,40.3,85.5,0.471,12.4,34.8,0.357,19.2,24.3,0.79,9.1,34.5,43.5,24.9,15.2,7.7,4.2,4.1,19.5,22.2,112.1
0.451,42.2,89.4,0.472,10.7,28.5,0.376,19.0,23.4,0.81,9.0,35.6,44.6,24.7,12.6,7.3,5.5,4.3,19.4,20.1,114.1,42.3,90.2,0.469,13.1,35.1,0.373,17.4,22.5,0.777,9.4,35.9,45.3,25.7,13.2,6.8,4.3,5.5,20.1,19.4,115.2
0.611,40.0,85.5,0.468,10.7,30.2,0.355,19.8,24.8,0.796,8.2,34.7,42.9,21.7,13.7,7.6,4.9,4.0,19.3,22.8,110.4,40.8,89.6,0.455,11.3,33.3,0.34,15.5,19.6,0.795,10.5,34.3,44.8,23.0,14.2,7.0,4.0,4.9,22.8,19.3,108.4
0.736,40.2,87.9,0.458,13.8,37.0,0.374,18.5,23.2,0.796,9.5,35.9,45.4,25.2,14.8,8.8,5.0,5.5,21.7,20.4,112.8,37.8,88.3,0.428,13.1,38.9,0.337,17.8,23.2,0.769,10.9,35.1,46.1,25.6,16.8,7.2,5.5,5.0,20.4,21.7,106.5
0.611,40.1,85.1,0.471,13.4,35.2,0.38,17.8,22.8,0.779,9.1,35.8,44.9,22.4,15.1,6.1,4.1,4.6,20.4,20.8,111.3,40.7,89.1,0.457,11.0,31.0,0.353,16.5,21.5,0.767,9.6,33.1,42.7,21.5,12.3,7.9,4.6,4.1,20.8,20.4,108.8
0.466,42.5,90.9,0.468,10.9,31.5,0.347,16.6,21.8,0.763,10.3,36.2,46.5,26.9,15.2,7.9,5.5,5.3,21.2,20.2,112.6,40.6,90.3,0.45,12.9,35.3,0.365,19.6,25.0,0.782,10.4,34.5,44.9,24.8,14.8,8.0,5.3,5.5,20.2,21.2,113.7
0.347,41.5,90.9,0.457,12.0,32.6,0.368,19.4,24.6,0.788,10.2,31.9,42.0,25.0,14.2,8.0,4.3,5.0,22.7,22.2,114.4,43.1,88.4,0.488,12.4,33.1,0.376,20.4,26.3,0.778,10.5,35.7,46.2,25.2,16.2,7.5,5.0,4.3,22.2,22.7,119.1
0.303,39.3,85.7,0.459,12.0,32.7,0.367,16.6,22.4,0.743,9.8,32.0,41.7,24.1,15.3,7.4,4.5,5.6,19.7,19.8,107.2,41.9,87.3,0.48,10.7,29.6,0.361,16.2,20.9,0.777,10.1,33.4,43.5,24.6,14.0,8.2,5.6,4.5,19.8,19.7,110.8
0.354,37.3,85.9,0.434,12.1,34.3,0.352,16.2,21.6,0.748,11.0,31.8,42.8,23.8,14.6,6.6,4.1,5.0,18.8,20.6,102.9,41.7,87.5,0.476,12.4,35.1,0.352,14.0,18.4,0.758,10.9,35.0,46.0,26.6,14.4,8.0,5.0,4.1,20.6,18.8,109.6
0.293,38.2,85.5,0.446,11.2,31.0,0.36,15.8,20.2,0.785,9.1,32.8,41.9,23.7,15.5,7.8,4.2,5.5,19.6,20.3,103.4,40.7,86.7,0.469,11.6,30.7,0.377,15.9,20.6,0.772,10.3,34.0,44.2,26.1,15.1,8.7,5.5,4.2,20.3,19.6,108.8
0.671,38.3,85.1,0.45,11.5,30.4,0.377,16.0,20.7,0.771,9.4,35.1,44.5,22.5,14.0,7.4,4.5,4.4,19.7,19.2,104.0,37.4,85.0,0.44,9.4,27.7,0.339,16.3,21.3,0.763,9.6,34.2,43.8,21.3,14.1,7.2,4.4,4.5,19.2,19.7,100.4
0.61,40.4,84.8,0.476,12.0,32.1,0.372,18.1,23.3,0.779,8.5,33.7,42.1,23.4,13.7,7.1,3.8,4.1,18.6,20.7,110.9,41.8,88.3,0.474,11.7,31.7,0.368,14.6,19.4,0.756,9.9,33.7,43.6,25.9,13.5,7.5,4.1,3.8,20.7,18.6,109.9
